

============================== EXP at 2026-04-30 12:05:04 ==============================
dev | avg_loss: 2.2091064453125 | {'exact_match': 0.0, 'rougeL': 14.9784} | threshold: 0.0
train | epoch   0 | Iter:   1118/  7140 | global iter:    560/  3570 | loss: -0.0095 | ds_loss: -0.0697 | lr: 9.4077e-05 | scale:  2048.0000 | micro time: 0.727 | step time: 1.256
train | epoch   0 | Iter:   1138/  7140 | global iter:    570/  3570 | loss: 0.0484 | ds_loss: -0.0113 | lr: 9.3868e-05 | scale:  2048.0000 | micro time: 0.743 | step time: 1.267
train | epoch   0 | Iter:   1158/  7140 | global iter:    580/  3570 | loss: 0.0351 | ds_loss: -0.0229 | lr: 9.3655e-05 | scale:  2048.0000 | micro time: 0.727 | step time: 1.265
train | epoch   0 | Iter:   1178/  7140 | global iter:    590/  3570 | loss: -0.0895 | ds_loss: -0.1478 | lr: 9.3439e-05 | scale:  2048.0000 | micro time: 0.714 | step time: 1.257
train | epoch   0 | Iter:   1198/  7140 | global iter:    600/  3570 | loss: -0.0193 | ds_loss: -0.0787 | lr: 9.3220e-05 | scale:  2048.0000 | micro time: 0.716 | step time: 1.278
train | epoch   0 | Iter:   1218/  7140 | global iter:    610/  3570 | loss: 0.0036 | ds_loss: -0.0529 | lr: 9.2997e-05 | scale:  2048.0000 | micro time: 0.692 | step time: 1.251
train | epoch   0 | Iter:   1238/  7140 | global iter:    620/  3570 | loss: 0.0144 | ds_loss: -0.0442 | lr: 9.2771e-05 | scale:  2048.0000 | micro time: 0.703 | step time: 1.271
train | epoch   0 | Iter:   1258/  7140 | global iter:    630/  3570 | loss: -0.0094 | ds_loss: -0.0685 | lr: 9.2541e-05 | scale:  2048.0000 | micro time: 0.698 | step time: 1.260
train | epoch   0 | Iter:   1278/  7140 | global iter:    640/  3570 | loss: -0.0127 | ds_loss: -0.0709 | lr: 9.2309e-05 | scale:  2048.0000 | micro time: 0.721 | step time: 1.249
train | epoch   0 | Iter:   1298/  7140 | global iter:    650/  3570 | loss: 0.0356 | ds_loss: -0.0231 | lr: 9.2073e-05 | scale:  2048.0000 | micro time: 0.726 | step time: 1.267
train | epoch   0 | Iter:   1318/  7140 | global iter:    660/  3570 | loss: -0.0430 | ds_loss: -0.1007 | lr: 9.1834e-05 | scale:  2048.0000 | micro time: 0.711 | step time: 1.265
train | epoch   0 | Iter:   1338/  7140 | global iter:    670/  3570 | loss: -0.0163 | ds_loss: -0.0731 | lr: 9.1591e-05 | scale:  2048.0000 | micro time: 0.709 | step time: 1.266
train | epoch   0 | Iter:   1358/  7140 | global iter:    680/  3570 | loss: -0.0096 | ds_loss: -0.0693 | lr: 9.1345e-05 | scale:  2048.0000 | micro time: 0.716 | step time: 1.254
train | epoch   0 | Iter:   1378/  7140 | global iter:    690/  3570 | loss: 0.0422 | ds_loss: -0.0144 | lr: 9.1096e-05 | scale:  2048.0000 | micro time: 0.707 | step time: 1.266
