

============================== EXP at 2026-04-30 13:36:45 ==============================


============================== EXP at 2026-04-30 13:37:33 ==============================


============================== EXP at 2026-04-30 13:39:34 ==============================
dev | avg_loss: 2.2266845703125 | {'exact_match': 0.0, 'rougeL': 9.3261} | threshold: 0.0
train | epoch   0 | Iter:    898/  7140 | global iter:    450/  3570 | loss: -0.3259 | ds_loss: -0.3962 | lr: 4.8074e-04 | scale:  2048.0000 | micro time: 0.756 | step time: 1.413
train | epoch   0 | Iter:    918/  7140 | global iter:    460/  3570 | loss: -0.2063 | ds_loss: -0.2773 | lr: 4.7989e-04 | scale:  2048.0000 | micro time: 0.701 | step time: 1.426
train | epoch   0 | Iter:    938/  7140 | global iter:    470/  3570 | loss: -0.3275 | ds_loss: -0.3954 | lr: 4.7901e-04 | scale:  2048.0000 | micro time: 0.727 | step time: 1.413
train | epoch   0 | Iter:    958/  7140 | global iter:    480/  3570 | loss: -0.2701 | ds_loss: -0.3347 | lr: 4.7812e-04 | scale:  2048.0000 | micro time: 0.762 | step time: 1.414
train | epoch   0 | Iter:    978/  7140 | global iter:    490/  3570 | loss: -0.2720 | ds_loss: -0.3450 | lr: 4.7721e-04 | scale:  2048.0000 | micro time: 0.724 | step time: 1.435
train | epoch   0 | Iter:    998/  7140 | global iter:    500/  3570 | loss: -0.2580 | ds_loss: -0.3287 | lr: 4.7629e-04 | scale:  2048.0000 | micro time: 0.731 | step time: 1.426
train | epoch   0 | Iter:   1018/  7140 | global iter:    510/  3570 | loss: -0.2585 | ds_loss: -0.3321 | lr: 4.7534e-04 | scale:  2048.0000 | micro time: 0.695 | step time: 1.425
train | epoch   0 | Iter:   1038/  7140 | global iter:    520/  3570 | loss: -0.2103 | ds_loss: -0.2740 | lr: 4.7438e-04 | scale:  2048.0000 | micro time: 0.694 | step time: 1.397
train | epoch   0 | Iter:   1058/  7140 | global iter:    530/  3570 | loss: -0.3417 | ds_loss: -0.4083 | lr: 4.7340e-04 | scale:  2048.0000 | micro time: 0.704 | step time: 1.406
train | epoch   0 | Iter:   1078/  7140 | global iter:    540/  3570 | loss: -0.2922 | ds_loss: -0.3623 | lr: 4.7241e-04 | scale:  2048.0000 | micro time: 0.728 | step time: 1.453
train | epoch   0 | Iter:   1098/  7140 | global iter:    550/  3570 | loss: -0.2599 | ds_loss: -0.3307 | lr: 4.7139e-04 | scale:  2048.0000 | micro time: 0.720 | step time: 1.429
train | epoch   0 | Iter:   1118/  7140 | global iter:    560/  3570 | loss: -0.2287 | ds_loss: -0.2942 | lr: 4.7036e-04 | scale:  2048.0000 | micro time: 0.749 | step time: 1.411
