

============================== EXP at 2026-04-29 10:53:27 ==============================


============================== EXP at 2026-04-29 13:42:13 ==============================
dev | avg_loss: 3.1082763671875 | {'exact_match': 0.0, 'rougeL': 7.2567} | threshold: 0.0
train | epoch   0 | Iter:    580/  3570 | global iter:    580/  3570 | loss: 1.3179 | ds_loss: 1.2362 | lr: 4.6820e-05 | scale:  2048.0000 | micro time: 0.904 | step time: 0.888
train | epoch   0 | Iter:    590/  3570 | global iter:    590/  3570 | loss: 1.3240 | ds_loss: 1.2375 | lr: 4.6712e-05 | scale:  2048.0000 | micro time: 0.907 | step time: 0.899
train | epoch   0 | Iter:    600/  3570 | global iter:    600/  3570 | loss: 1.2676 | ds_loss: 1.1803 | lr: 4.6602e-05 | scale:  2048.0000 | micro time: 0.906 | step time: 0.897
train | epoch   0 | Iter:    610/  3570 | global iter:    610/  3570 | loss: 1.2438 | ds_loss: 1.1579 | lr: 4.6491e-05 | scale:  2048.0000 | micro time: 0.914 | step time: 0.888
train | epoch   0 | Iter:    620/  3570 | global iter:    620/  3570 | loss: 1.2786 | ds_loss: 1.1915 | lr: 4.6378e-05 | scale:  2048.0000 | micro time: 0.913 | step time: 0.882
train | epoch   0 | Iter:    630/  3570 | global iter:    630/  3570 | loss: 1.3233 | ds_loss: 1.2398 | lr: 4.6263e-05 | scale:  2048.0000 | micro time: 0.896 | step time: 0.888
train | epoch   0 | Iter:    640/  3570 | global iter:    640/  3570 | loss: 1.3066 | ds_loss: 1.2225 | lr: 4.6147e-05 | scale:  2048.0000 | micro time: 0.918 | step time: 0.892
train | epoch   0 | Iter:    650/  3570 | global iter:    650/  3570 | loss: 1.3508 | ds_loss: 1.2669 | lr: 4.6028e-05 | scale:  2048.0000 | micro time: 0.881 | step time: 0.886
train | epoch   0 | Iter:    660/  3570 | global iter:    660/  3570 | loss: 1.3139 | ds_loss: 1.2253 | lr: 4.5909e-05 | scale:  2048.0000 | micro time: 0.922 | step time: 0.895
train | epoch   0 | Iter:    670/  3570 | global iter:    670/  3570 | loss: 1.2723 | ds_loss: 1.1886 | lr: 4.5788e-05 | scale:  2048.0000 | micro time: 0.868 | step time: 0.890
train | epoch   0 | Iter:    680/  3570 | global iter:    680/  3570 | loss: 1.3279 | ds_loss: 1.2435 | lr: 4.5665e-05 | scale:  2048.0000 | micro time: 0.877 | step time: 0.884
train | epoch   0 | Iter:    690/  3570 | global iter:    690/  3570 | loss: 1.2833 | ds_loss: 1.1984 | lr: 4.5540e-05 | scale:  2048.0000 | micro time: 0.887 | step time: 0.904
train | epoch   0 | Iter:    700/  3570 | global iter:    700/  3570 | loss: 1.2588 | ds_loss: 1.1758 | lr: 4.5414e-05 | scale:  2048.0000 | micro time: 0.919 | step time: 0.899
train | epoch   0 | Iter:    710/  3570 | global iter:    710/  3570 | loss: 1.3126 | ds_loss: 1.2248 | lr: 4.5286e-05 | scale:  2048.0000 | micro time: 0.914 | step time: 0.904
dev | avg_loss: 4.3748779296875 | {'exact_match': 0.6, 'rougeL': 21.0876} | threshold: 0.0
train | epoch   1 | Iter:    720/  3570 | global iter:    720/  3570 | loss: 1.2837 | ds_loss: 1.2020 | lr: 4.5157e-05 | scale:  2048.0000 | micro time: 0.870 | step time: 0.862
train | epoch   1 | Iter:    730/  3570 | global iter:    730/  3570 | loss: 1.1132 | ds_loss: 1.0311 | lr: 4.5026e-05 | scale:  2048.0000 | micro time: 0.885 | step time: 1.009
train | epoch   1 | Iter:    740/  3570 | global iter:    740/  3570 | loss: 1.2371 | ds_loss: 1.1534 | lr: 4.4894e-05 | scale:  2048.0000 | micro time: 0.904 | step time: 0.892
train | epoch   1 | Iter:    750/  3570 | global iter:    750/  3570 | loss: 1.1707 | ds_loss: 1.0904 | lr: 4.4760e-05 | scale:  2048.0000 | micro time: 0.879 | step time: 0.895
train | epoch   1 | Iter:    760/  3570 | global iter:    760/  3570 | loss: 1.2702 | ds_loss: 1.1886 | lr: 4.4625e-05 | scale:  2048.0000 | micro time: 0.878 | step time: 0.889
train | epoch   1 | Iter:    770/  3570 | global iter:    770/  3570 | loss: 1.1484 | ds_loss: 1.0711 | lr: 4.4488e-05 | scale:  2048.0000 | micro time: 0.849 | step time: 1.015
train | epoch   1 | Iter:    780/  3570 | global iter:    780/  3570 | loss: 1.2563 | ds_loss: 1.1745 | lr: 4.4350e-05 | scale:  2048.0000 | micro time: 0.860 | step time: 0.884
train | epoch   1 | Iter:    790/  3570 | global iter:    790/  3570 | loss: 1.2384 | ds_loss: 1.1544 | lr: 4.4210e-05 | scale:  2048.0000 | micro time: 0.889 | step time: 0.888
train | epoch   1 | Iter:    800/  3570 | global iter:    800/  3570 | loss: 1.2202 | ds_loss: 1.1408 | lr: 4.4068e-05 | scale:  2048.0000 | micro time: 0.883 | step time: 1.008
train | epoch   1 | Iter:    810/  3570 | global iter:    810/  3570 | loss: 1.2784 | ds_loss: 1.1993 | lr: 4.3926e-05 | scale:  2048.0000 | micro time: 0.906 | step time: 0.891
train | epoch   1 | Iter:    820/  3570 | global iter:    820/  3570 | loss: 1.1823 | ds_loss: 1.1009 | lr: 4.3781e-05 | scale:  2048.0000 | micro time: 0.886 | step time: 1.006
train | epoch   1 | Iter:    830/  3570 | global iter:    830/  3570 | loss: 1.1012 | ds_loss: 1.0213 | lr: 4.3635e-05 | scale:  2048.0000 | micro time: 0.859 | step time: 1.001
train | epoch   1 | Iter:    840/  3570 | global iter:    840/  3570 | loss: 1.2529 | ds_loss: 1.1727 | lr: 4.3488e-05 | scale:  2048.0000 | micro time: 0.908 | step time: 0.894
train | epoch   1 | Iter:    850/  3570 | global iter:    850/  3570 | loss: 1.1758 | ds_loss: 1.0960 | lr: 4.3340e-05 | scale:  2048.0000 | micro time: 0.883 | step time: 1.133
train | epoch   1 | Iter:    860/  3570 | global iter:    860/  3570 | loss: 1.1112 | ds_loss: 1.0313 | lr: 4.3190e-05 | scale:  2048.0000 | micro time: 1.809 | step time: 1.230
train | epoch   1 | Iter:    870/  3570 | global iter:    870/  3570 | loss: 1.2253 | ds_loss: 1.1441 | lr: 4.3038e-05 | scale:  2048.0000 | micro time: 0.875 | step time: 0.895
train | epoch   1 | Iter:    880/  3570 | global iter:    880/  3570 | loss: 1.1226 | ds_loss: 1.0438 | lr: 4.2885e-05 | scale:  2048.0000 | micro time: 0.898 | step time: 1.144
train | epoch   1 | Iter:    890/  3570 | global iter:    890/  3570 | loss: 1.1176 | ds_loss: 1.0354 | lr: 4.2731e-05 | scale:  2048.0000 | micro time: 0.877 | step time: 1.140
train | epoch   1 | Iter:    900/  3570 | global iter:    900/  3570 | loss: 1.1516 | ds_loss: 1.0725 | lr: 4.2575e-05 | scale:  2048.0000 | micro time: 2.078 | step time: 1.071
train | epoch   1 | Iter:    910/  3570 | global iter:    910/  3570 | loss: 1.2121 | ds_loss: 1.1333 | lr: 4.2419e-05 | scale:  2048.0000 | micro time: 0.867 | step time: 0.982
train | epoch   1 | Iter:    920/  3570 | global iter:    920/  3570 | loss: 1.2635 | ds_loss: 1.1826 | lr: 4.2260e-05 | scale:  2048.0000 | micro time: 0.911 | step time: 0.896
train | epoch   1 | Iter:    930/  3570 | global iter:    930/  3570 | loss: 1.1832 | ds_loss: 1.1055 | lr: 4.2101e-05 | scale:  2048.0000 | micro time: 0.915 | step time: 0.997
train | epoch   1 | Iter:    940/  3570 | global iter:    940/  3570 | loss: 1.1785 | ds_loss: 1.0956 | lr: 4.1940e-05 | scale:  2048.0000 | micro time: 0.907 | step time: 1.014
train | epoch   1 | Iter:    950/  3570 | global iter:    950/  3570 | loss: 1.2297 | ds_loss: 1.1511 | lr: 4.1777e-05 | scale:  2048.0000 | micro time: 0.871 | step time: 0.983
train | epoch   1 | Iter:    960/  3570 | global iter:    960/  3570 | loss: 1.2191 | ds_loss: 1.1389 | lr: 4.1614e-05 | scale:  2048.0000 | micro time: 0.890 | step time: 0.999
train | epoch   1 | Iter:    970/  3570 | global iter:    970/  3570 | loss: 1.1908 | ds_loss: 1.1107 | lr: 4.1449e-05 | scale:  2048.0000 | micro time: 0.896 | step time: 1.002
train | epoch   1 | Iter:    980/  3570 | global iter:    980/  3570 | loss: 1.1342 | ds_loss: 1.0548 | lr: 4.1283e-05 | scale:  2048.0000 | micro time: 0.890 | step time: 1.102
train | epoch   1 | Iter:    990/  3570 | global iter:    990/  3570 | loss: 1.1758 | ds_loss: 1.0947 | lr: 4.1116e-05 | scale:  2048.0000 | micro time: 0.884 | step time: 1.009
train | epoch   1 | Iter:   1000/  3570 | global iter:   1000/  3570 | loss: 1.1937 | ds_loss: 1.1139 | lr: 4.0947e-05 | scale:  2048.0000 | micro time: 0.875 | step time: 0.986
train | epoch   1 | Iter:   1010/  3570 | global iter:   1010/  3570 | loss: 1.2312 | ds_loss: 1.1544 | lr: 4.0777e-05 | scale:  2048.0000 | micro time: 0.902 | step time: 0.889
train | epoch   1 | Iter:   1020/  3570 | global iter:   1020/  3570 | loss: 1.1750 | ds_loss: 1.0987 | lr: 4.0606e-05 | scale:  2048.0000 | micro time: 2.164 | step time: 1.133
train | epoch   1 | Iter:   1030/  3570 | global iter:   1030/  3570 | loss: 1.2118 | ds_loss: 1.1349 | lr: 4.0434e-05 | scale:  2048.0000 | micro time: 0.920 | step time: 0.892
train | epoch   1 | Iter:   1040/  3570 | global iter:   1040/  3570 | loss: 1.1400 | ds_loss: 1.0599 | lr: 4.0260e-05 | scale:  2048.0000 | micro time: 0.903 | step time: 1.258
train | epoch   1 | Iter:   1050/  3570 | global iter:   1050/  3570 | loss: 1.1714 | ds_loss: 1.0949 | lr: 4.0086e-05 | scale:  2048.0000 | micro time: 1.207 | step time: 0.978
train | epoch   1 | Iter:   1060/  3570 | global iter:   1060/  3570 | loss: 1.1945 | ds_loss: 1.1163 | lr: 3.9910e-05 | scale:  2048.0000 | micro time: 0.870 | step time: 0.877
