Ngo

============================== EXP at 2026-05-02 16:03:14 ==============================
dev | avg_loss: 2.201904296875 | {'exact_match': 0.1, 'rougeL': 14.5842} | threshold: 0.0
train | epoch   1 | Iter:   1158/  3570 | global iter:    580/  1785 | loss: 1.0168 | ds_loss: 0.9629 | lr: 7.6233e-05 | scale:  2048.0000 | micro time: 1.789 | step time: 3.459
train | epoch   1 | Iter:   1178/  3570 | global iter:    590/  1785 | loss: 0.9834 | ds_loss: 0.9298 | lr: 7.5480e-05 | scale:  2048.0000 | micro time: 5.726 | step time: 5.039
train | epoch   1 | Iter:   1198/  3570 | global iter:    600/  1785 | loss: 1.0074 | ds_loss: 0.9530 | lr: 7.4720e-05 | scale:  2048.0000 | micro time: 1.732 | step time: 5.010
train | epoch   1 | Iter:   1218/  3570 | global iter:    610/  1785 | loss: 1.0275 | ds_loss: 0.9722 | lr: 7.3952e-05 | scale:  2048.0000 | micro time: 1.724 | step time: 4.680
train | epoch   1 | Iter:   1238/  3570 | global iter:    620/  1785 | loss: 1.0256 | ds_loss: 0.9721 | lr: 7.3176e-05 | scale:  2048.0000 | micro time: 1.794 | step time: 4.550
train | epoch   1 | Iter:   1258/  3570 | global iter:    630/  1785 | loss: 1.0123 | ds_loss: 0.9583 | lr: 7.2393e-05 | scale:  2048.0000 | micro time: 1.668 | step time: 3.463
train | epoch   1 | Iter:   1278/  3570 | global iter:    640/  1785 | loss: 1.0134 | ds_loss: 0.9603 | lr: 7.1604e-05 | scale:  2048.0000 | micro time: 1.604 | step time: 4.271
train | epoch   1 | Iter:   1298/  3570 | global iter:    650/  1785 | loss: 1.0007 | ds_loss: 0.9488 | lr: 7.0807e-05 | scale:  2048.0000 | micro time: 1.601 | step time: 5.481
train | epoch   1 | Iter:   1318/  3570 | global iter:    660/  1785 | loss: 0.9677 | ds_loss: 0.9136 | lr: 7.0004e-05 | scale:  2048.0000 | micro time: 5.335 | step time: 5.472
train | epoch   1 | Iter:   1338/  3570 | global iter:    670/  1785 | loss: 1.0271 | ds_loss: 0.9737 | lr: 6.9195e-05 | scale:  2048.0000 | micro time: 1.559 | step time: 4.175
train | epoch   1 | Iter:   1358/  3570 | global iter:    680/  1785 | loss: 1.0048 | ds_loss: 0.9512 | lr: 6.8381e-05 | scale:  2048.0000 | micro time: 1.796 | step time: 4.167
train | epoch   1 | Iter:   1378/  3570 | global iter:    690/  1785 | loss: 1.0234 | ds_loss: 0.9695 | lr: 6.7560e-05 | scale:  2048.0000 | micro time: 1.628 | step time: 4.115
train | epoch   1 | Iter:   1398/  3570 | global iter:    700/  1785 | loss: 1.0357 | ds_loss: 0.9821 | lr: 6.6734e-05 | scale:  2048.0000 | micro time: 1.765 | step time: 3.996
train | epoch   1 | Iter:   1418/  3570 | global iter:    710/  1785 | loss: 1.0470 | ds_loss: 0.9927 | lr: 6.5903e-05 | scale:  2048.0000 | micro time: 1.592 | step time: 4.123
dev | avg_loss: 4.29052734375 | {'exact_match': 3.0, 'rougeL': 24.6128} | threshold: 0.1
train | epoch   2 | Iter:   1438/  3570 | global iter:    720/  1785 | loss: 0.9507 | ds_loss: 0.8999 | lr: 6.5067e-05 | scale:  2048.0000 | micro time: 5.531 | step time: 4.302
train | epoch   2 | Iter:   1458/  3570 | global iter:    730/  1785 | loss: 0.8938 | ds_loss: 0.8416 | lr: 6.4226e-05 | scale:  2048.0000 | micro time: 1.719 | step time: 4.576
train | epoch   2 | Iter:   1478/  3570 | global iter:    740/  1785 | loss: 0.8524 | ds_loss: 0.8006 | lr: 6.3381e-05 | scale:  2048.0000 | micro time: 1.828 | step time: 4.275
